item_id,pedido_id,sku,quantidade,preco_unitario,subtotal
IT00000101,PED00000042,SKU001,3,6.6,19.8
IT00000102,PED00000043,SKU011,3,16.17,48.52
IT00000103,PED00000043,SKU011,1,16.53,16.53
IT00000104,PED00000044,SKU004,3,8.12,24.36
IT00000105,PED00000045,SKU008,1,17.96,17.96
IT00000106,PED00000045,SKU011,1,15.86,15.86
IT00000107,PED00000045,SKU010,3,14.38,43.13
IT00000108,PED00000046,SKU005,1,8.12,8.12
IT00000109,PED00000046,SKU014,1,7.15,7.15
IT00000110,PED00000047,SKU006,6,10.35,62.1
IT00000111,PED00000048,SKU014,2,7.44,14.88
IT00000112,PED00000048,SKU015,3,6.63,19.9
IT00000113,PED00000049,SKU010,2,14.69,29.38
IT00000114,PED00000049,SKU001,6,6.75,40.48
IT00000115,PED00000050,SKU012,6,11.93,71.58
IT00000116,PED00000050,SKU012,2,11.98,23.95
IT00000117,PED00000051,SKU008,1,19.23,19.23
IT00000118,PED00000051,SKU007,1,13.32,13.32
IT00000119,PED00000051,SKU015,12,6.59,79.11
IT00000120,PED00000052,SKU006,12,9.45,113.46
IT00000121,PED00000052,SKU004,2,7.8,15.61
IT00000122,PED00000053,SKU001,1,6.44,6.44
IT00000123,PED00000053,SKU009,2,20.55,41.1
IT00000124,PED00000053,SKU013,3,11.03,33.09
IT00000125,PED00000054,SKU006,2,10.02,20.04
IT00000126,PED00000054,SKU008,3,18.64,55.92
IT00000127,PED00000054,SKU008,1,19.39,19.39
IT00000128,PED00000054,SKU004,1,7.79,7.79
IT00000129,PED00000055,SKU012,3,11.43,34.3
IT00000130,PED00000055,SKU010,1,14.33,14.33
IT00000131,PED00000055,SKU014,2,7.47,14.94
IT00000132,PED00000055,SKU013,1,10.72,10.72
IT00000133,PED00000056,SKU008,1,19.35,19.35
IT00000134,PED00000057,SKU012,6,11.43,68.57
IT00000135,PED00000057,SKU011,3,17.13,51.39
IT00000136,PED00000057,SKU009,6,19.74,118.43
IT00000137,PED00000058,SKU012,6,11.91,71.49
IT00000138,PED00000058,SKU014,3,7.77,23.31
IT00000139,PED00000059,SKU012,3,12.45,37.34
IT00000140,PED00000059,SKU009,2,20.17,40.34
IT00000141,PED00000059,SKU012,1,11.72,11.72
IT00000142,PED00000060,SKU001,2,6.19,12.38
IT00000143,PED00000060,SKU003,1,3.63,3.63
IT00000144,PED00000061,SKU006,6,9.51,57.04
IT00000145,PED00000061,SKU014,3,7.55,22.64
IT00000146,PED00000062,SKU007,12,13.51,162.17
IT00000147,PED00000062,SKU006,12,9.46,113.5
IT00000148,PED00000063,SKU009,3,19.3,57.89
IT00000149,PED00000063,SKU012,12,11.66,139.86
IT00000150,PED00000063,SKU003,12,3.64,43.66
IT00000151,PED00000064,SKU005,1,8.47,8.47
IT00000152,PED00000064,SKU015,1,6.66,6.66
IT00000153,PED00000064,SKU006,2,10.17,20.34
IT00000154,PED00000065,SKU009,1,19.91,19.91
IT00000155,PED00000065,SKU007,2,12.78,25.55
IT00000156,PED00000065,SKU006,1,9.62,9.62
IT00000157,PED00000065,SKU006,1,9.7,9.7
IT00000158,PED00000065,SKU013,3,10.87,32.62
IT00000159,PED00000066,SKU011,6,16.3,97.83
IT00000160,PED00000066,SKU013,6,10.78,64.65
IT00000161,PED00000066,SKU009,3,18.95,56.86
IT00000162,PED00000066,SKU009,6,19.65,117.91
IT00000163,PED00000066,SKU013,2,10.89,21.77
IT00000164,PED00000067,SKU004,3,8.12,24.35
IT00000165,PED00000067,SKU014,3,7.75,23.26
IT00000166,PED00000067,SKU004,2,8.06,16.12
IT00000167,PED00000068,SKU002,1,4.32,4.32
IT00000168,PED00000069,SKU011,1,15.68,15.68
IT00000169,PED00000070,SKU005,3,8.31,24.94
IT00000170,PED00000070,SKU015,2,6.83,13.66
IT00000171,PED00000070,SKU011,1,15.93,15.93
IT00000172,PED00000071,SKU014,3,7.4,22.21
IT00000173,PED00000071,SKU001,2,6.54,13.07
IT00000174,PED00000071,SKU002,1,4.23,4.23
IT00000175,PED00000071,SKU007,2,13.48,26.95
IT00000176,PED00000071,SKU005,1,8.71,8.71
IT00000177,PED00000072,SKU003,3,3.83,11.48
IT00000178,PED00000073,SKU008,12,18.63,223.56
IT00000179,PED00000073,SKU011,3,15.84,47.52
IT00000180,PED00000073,SKU010,1,14.44,14.44
IT00000181,PED00000074,SKU007,1,12.66,12.66
IT00000182,PED00000074,SKU013,1,11.16,11.16
IT00000183,PED00000075,SKU002,1,4.24,4.24
IT00000184,PED00000075,SKU014,1,7.74,7.74
IT00000185,PED00000076,SKU010,2,15.03,30.07
IT00000186,PED00000076,SKU015,1,6.73,6.73
IT00000187,PED00000076,SKU015,12,6.88,82.57
IT00000188,PED00000076,SKU013,1,10.78,10.78
IT00000189,PED00000077,SKU011,1,17.27,17.27
IT00000190,PED00000077,SKU010,3,15.28,45.85
IT00000191,PED00000078,SKU002,1,4.09,4.09
IT00000192,PED00000078,SKU011,1,17.17,17.17
IT00000193,PED00000079,SKU005,6,8.3,49.79
IT00000194,PED00000079,SKU009,2,19.65,39.31
IT00000195,PED00000079,SKU007,2,13.1,26.2
IT00000196,PED00000080,SKU015,3,6.9,20.7
IT00000197,PED00000080,SKU003,2,3.7,7.39
IT00000198,PED00000080,SKU009,3,19.33,57.98
IT00000199,PED00000081,SKU008,2,19.07,38.14
IT00000200,PED00000081,SKU011,6,15.71,94.27
IT00000201,PED00000082,SKU015,1,7.22,7.22
IT00000202,PED00000083,SKU003,1,3.77,3.77
IT00000203,PED00000083,SKU003,3,3.92,11.77
IT00000204,PED00000083,SKU003,3,3.8,11.41
IT00000205,PED00000083,SKU003,3,3.74,11.22
IT00000206,PED00000084,SKU011,2,15.92,31.84
IT00000207,PED00000084,SKU002,1,4.37,4.37
IT00000208,PED00000084,SKU010,1,15.32,15.32
IT00000209,PED00000084,SKU009,3,19.09,57.27
IT00000210,PED00000085,SKU012,2,11.58,23.16
IT00000211,PED00000085,SKU013,2,11.19,22.39
IT00000212,PED00000085,SKU006,2,10.14,20.28
IT00000213,PED00000085,SKU013,6,10.98,65.9
IT00000214,PED00000086,SKU001,3,6.69,20.06
IT00000215,PED00000086,SKU010,2,14.93,29.86
IT00000216,PED00000087,SKU014,2,7.55,15.1
IT00000217,PED00000087,SKU010,1,15.17,15.17
IT00000218,PED00000088,SKU010,1,15.21,15.21
IT00000219,PED00000088,SKU012,1,12.33,12.33
IT00000220,PED00000088,SKU002,3,4.18,12.53
IT00000221,PED00000088,SKU012,6,11.42,68.55
IT00000222,PED00000088,SKU009,2,19.58,39.16
IT00000223,PED00000089,SKU015,3,6.62,19.85
IT00000224,PED00000090,SKU010,1,15.31,15.31
IT00000225,PED00000090,SKU003,3,3.78,11.33
IT00000226,PED00000090,SKU004,6,8.24,49.44
IT00000227,PED00000091,SKU011,1,15.93,15.93
IT00000228,PED00000091,SKU005,3,8.38,25.13
IT00000229,PED00000092,SKU009,6,19.6,117.59
IT00000230,PED00000092,SKU014,1,7.58,7.58
IT00000231,PED00000092,SKU004,2,7.82,15.65
IT00000232,PED00000093,SKU005,6,8.77,52.6
IT00000233,PED00000093,SKU010,1,14.81,14.81
IT00000234,PED00000093,SKU007,2,13.25,26.5
IT00000235,PED00000093,SKU013,1,11.2,11.2
IT00000236,PED00000094,SKU004,3,7.69,23.06
IT00000237,PED00000094,SKU006,2,9.75,19.51
IT00000238,PED00000094,SKU009,1,20.56,20.56
IT00000239,PED00000095,SKU005,1,8.71,8.71
IT00000240,PED00000095,SKU015,6,6.9,41.4
IT00000241,PED00000095,SKU004,1,7.7,7.7
IT00000242,PED00000095,SKU005,1,8.25,8.25
IT00000243,PED00000096,SKU009,12,20.59,247.11
IT00000244,PED00000096,SKU006,3,9.89,29.68
IT00000245,PED00000096,SKU015,6,7.15,42.93
IT00000246,PED00000097,SKU009,1,19.6,19.6
IT00000247,PED00000097,SKU014,3,7.26,21.77
IT00000248,PED00000098,SKU006,3,9.66,28.99
IT00000249,PED00000099,SKU006,6,9.68,58.09
IT00000250,PED00000099,SKU003,2,3.98,7.96
IT00000251,PED00000099,SKU011,1,15.84,15.84
IT00000252,PED00000100,SKU007,2,13.54,27.08
IT00000253,PED00000101,SKU002,3,4.02,12.05
IT00000254,PED00000102,SKU013,1,10.38,10.38
IT00000255,PED00000102,SKU002,2,4.28,8.55
IT00000256,PED00000102,SKU010,1,15.01,15.01
IT00000257,PED00000103,SKU002,2,4.11,8.22
IT00000258,PED00000103,SKU011,12,17.11,205.29
IT00000259,PED00000104,SKU005,3,8.59,25.77
IT00000260,PED00000104,SKU007,1,12.83,12.83
IT00000261,PED00000105,SKU004,3,8.25,24.74
IT00000262,PED00000106,SKU013,2,11.19,22.38
IT00000263,PED00000107,SKU003,1,3.93,3.93
IT00000264,PED00000107,SKU001,1,6.41,6.41
IT00000265,PED00000108,SKU003,2,3.78,7.57
IT00000266,PED00000108,SKU012,3,11.98,35.93
IT00000267,PED00000108,SKU009,3,19.97,59.9
IT00000268,PED00000109,SKU009,6,20.59,123.55
IT00000269,PED00000110,SKU004,3,7.94,23.81
IT00000270,PED00000110,SKU004,2,7.95,15.9
IT00000271,PED00000111,SKU013,3,11.02,33.07
IT00000272,PED00000111,SKU012,3,11.64,34.93
IT00000273,PED00000112,SKU012,3,11.53,34.59
IT00000274,PED00000112,SKU001,1,6.81,6.81
IT00000275,PED00000113,SKU004,1,7.75,7.75
IT00000276,PED00000114,SKU002,2,4.07,8.13
IT00000277,PED00000114,SKU015,6,7.12,42.71
IT00000278,PED00000114,SKU014,1,7.86,7.86
IT00000279,PED00000115,SKU011,12,16.46,197.46
IT00000280,PED00000116,SKU008,3,18.33,54.99
IT00000281,PED00000117,SKU002,2,4.09,8.18
IT00000282,PED00000117,SKU001,2,6.62,13.25
IT00000283,PED00000118,SKU013,3,10.42,31.26
IT00000284,PED00000118,SKU011,1,16.56,16.56
IT00000285,PED00000118,SKU002,1,4.09,4.09
IT00000286,PED00000118,SKU009,3,20.41,61.23
IT00000287,PED00000119,SKU012,2,11.66,23.31
IT00000288,PED00000120,SKU014,2,7.18,14.35
IT00000289,PED00000120,SKU003,2,3.92,7.84
IT00000290,PED00000120,SKU009,2,18.91,37.81
IT00000291,PED00000121,SKU009,6,19.28,115.7
IT00000292,PED00000122,SKU001,6,6.26,37.56
IT00000293,PED00000122,SKU014,1,7.21,7.21
IT00000294,PED00000122,SKU004,1,7.96,7.96
IT00000295,PED00000123,SKU004,3,8.24,24.72
IT00000296,PED00000123,SKU014,1,7.73,7.73
IT00000297,PED00000123,SKU001,2,6.66,13.32
IT00000298,PED00000123,SKU015,2,6.81,13.62
IT00000299,PED00000124,SKU002,1,4.09,4.09
IT00000300,PED00000124,SKU007,1,12.93,12.93
IT00000301,PED00000124,SKU004,2,8.25,16.51
IT00000302,PED00000124,SKU009,3,19.73,59.19
IT00000303,PED00000124,SKU002,3,4.23,12.7
IT00000304,PED00000125,SKU006,3,9.93,29.8
IT00000305,PED00000125,SKU010,2,14.68,29.36
IT00000306,PED00000126,SKU009,1,20.43,20.43
IT00000307,PED00000126,SKU015,3,6.8,20.41
IT00000308,PED00000127,SKU005,12,8.26,99.09
IT00000309,PED00000127,SKU006,1,10.22,10.22
IT00000310,PED00000128,SKU003,1,3.95,3.95
IT00000311,PED00000128,SKU004,1,8.15,8.15
IT00000312,PED00000129,SKU015,3,6.95,20.86
IT00000313,PED00000129,SKU015,1,7.0,7.0
IT00000314,PED00000130,SKU002,6,4.09,24.51
IT00000315,PED00000130,SKU011,6,17.21,103.24
IT00000316,PED00000130,SKU011,3,16.31,48.92
IT00000317,PED00000130,SKU005,2,8.35,16.69
IT00000318,PED00000131,SKU010,2,14.49,28.97
IT00000319,PED00000131,SKU005,3,8.2,24.6
IT00000320,PED00000131,SKU006,1,9.97,9.97
IT00000321,PED00000132,SKU004,2,8.02,16.04
IT00000322,PED00000132,SKU004,2,8.29,16.59
IT00000323,PED00000133,SKU006,1,9.75,9.75
IT00000324,PED00000133,SKU011,1,16.18,16.18
IT00000325,PED00000134,SKU006,1,10.13,10.13
IT00000326,PED00000135,SKU008,1,18.35,18.35
IT00000327,PED00000135,SKU009,1,19.99,19.99
IT00000328,PED00000136,SKU001,1,6.21,6.21
IT00000329,PED00000136,SKU004,3,7.99,23.98
IT00000330,PED00000136,SKU001,2,6.79,13.58
IT00000331,PED00000137,SKU007,2,13.17,26.34
IT00000332,PED00000137,SKU015,1,7.15,7.15
IT00000333,PED00000138,SKU008,2,18.25,36.5
IT00000334,PED00000138,SKU006,3,9.76,29.27
IT00000335,PED00000139,SKU001,6,6.79,40.75
IT00000336,PED00000139,SKU004,1,8.21,8.21
IT00000337,PED00000139,SKU011,1,16.88,16.88
IT00000338,PED00000139,SKU009,12,20.12,241.49
IT00000339,PED00000139,SKU011,3,16.36,49.09
IT00000340,PED00000140,SKU013,1,10.51,10.51
IT00000341,PED00000140,SKU012,3,11.93,35.78
IT00000342,PED00000141,SKU015,1,6.58,6.58
IT00000343,PED00000141,SKU006,6,9.81,58.89
IT00000344,PED00000142,SKU010,1,15.0,15.0
IT00000345,PED00000142,SKU004,2,7.69,15.37
IT00000346,PED00000142,SKU001,2,6.62,13.24
IT00000347,PED00000142,SKU008,1,19.55,19.55
IT00000348,PED00000142,SKU008,3,18.66,55.99
IT00000349,PED00000143,SKU007,1,13.12,13.12
IT00000350,PED00000143,SKU004,3,7.56,22.67
IT00000351,PED00000143,SKU015,12,6.86,82.3
IT00000352,PED00000143,SKU010,2,14.64,29.28
IT00000353,PED00000144,SKU012,2,11.94,23.89
IT00000354,PED00000144,SKU011,6,16.97,101.84
IT00000355,PED00000144,SKU009,1,19.81,19.81
IT00000356,PED00000145,SKU004,1,7.82,7.82
IT00000357,PED00000145,SKU005,3,8.32,24.95
IT00000358,PED00000145,SKU003,2,3.84,7.69
IT00000359,PED00000145,SKU001,3,6.76,20.29
IT00000360,PED00000145,SKU008,6,18.81,112.85
IT00000361,PED00000146,SKU015,3,6.69,20.08
IT00000362,PED00000146,SKU008,1,18.57,18.57
IT00000363,PED00000147,SKU007,3,13.51,40.54
IT00000364,PED00000147,SKU010,6,14.72,88.32
IT00000365,PED00000148,SKU012,3,11.84,35.51
IT00000366,PED00000148,SKU011,1,17.16,17.16
IT00000367,PED00000149,SKU015,2,6.7,13.41
IT00000368,PED00000150,SKU009,6,19.32,115.91
IT00000369,PED00000150,SKU003,1,3.86,3.86
IT00000370,PED00000150,SKU001,1,6.2,6.2
IT00000371,PED00000151,SKU012,3,11.99,35.96
IT00000372,PED00000151,SKU009,1,19.81,19.81
IT00000373,PED00000151,SKU010,2,14.21,28.42
IT00000374,PED00000152,SKU003,1,3.94,3.94
IT00000375,PED00000152,SKU006,2,9.92,19.85
IT00000376,PED00000153,SKU005,2,8.8,17.59
IT00000377,PED00000153,SKU005,2,8.92,17.84
IT00000378,PED00000153,SKU006,6,10.01,60.08
IT00000379,PED00000153,SKU008,2,19.15,38.3
IT00000380,PED00000153,SKU008,6,19.63,117.75
IT00000381,PED00000154,SKU014,1,7.59,7.59
IT00000382,PED00000155,SKU005,2,8.35,16.7
IT00000383,PED00000156,SKU006,6,9.88,59.28
IT00000384,PED00000156,SKU008,3,19.18,57.53
IT00000385,PED00000157,SKU014,2,7.55,15.1
IT00000386,PED00000157,SKU011,1,16.56,16.56
IT00000387,PED00000157,SKU004,2,7.77,15.53
IT00000388,PED00000158,SKU010,2,15.04,30.08
IT00000389,PED00000159,SKU008,6,18.53,111.16
IT00000390,PED00000159,SKU009,1,19.13,19.13
IT00000391,PED00000160,SKU015,2,7.16,14.32
IT00000392,PED00000161,SKU012,6,11.44,68.66
IT00000393,PED00000161,SKU005,6,8.66,51.95
IT00000394,PED00000162,SKU005,3,8.25,24.76
IT00000395,PED00000162,SKU004,1,7.72,7.72
IT00000396,PED00000162,SKU006,3,10.07,30.21
IT00000397,PED00000163,SKU006,1,10.34,10.34
IT00000398,PED00000163,SKU013,1,10.62,10.62
IT00000399,PED00000164,SKU007,1,12.81,12.81
IT00000400,PED00000165,SKU005,1,8.24,8.24
IT00000401,PED00000165,SKU013,3,10.94,32.81
IT00000402,PED00000165,SKU015,3,6.88,20.63
IT00000403,PED00000166,SKU004,1,8.21,8.21
IT00000404,PED00000166,SKU005,6,8.41,50.45
IT00000405,PED00000167,SKU014,1,7.7,7.7
IT00000406,PED00000167,SKU010,2,14.91,29.82
IT00000407,PED00000168,SKU007,1,12.57,12.57
IT00000408,PED00000168,SKU003,12,3.76,45.07
IT00000409,PED00000169,SKU012,6,11.99,71.93
IT00000410,PED00000169,SKU008,1,19.08,19.08
IT00000411,PED00000169,SKU006,2,10.22,20.44
IT00000412,PED00000170,SKU001,1,6.71,6.71
IT00000413,PED00000170,SKU015,2,7.08,14.15
IT00000414,PED00000170,SKU013,1,10.51,10.51
IT00000415,PED00000171,SKU011,1,17.23,17.23
IT00000416,PED00000171,SKU007,3,13.44,40.31
IT00000417,PED00000171,SKU002,2,4.25,8.49
IT00000418,PED00000172,SKU002,6,4.35,26.12
IT00000419,PED00000172,SKU004,2,7.97,15.94
IT00000420,PED00000172,SKU011,1,16.31,16.31
IT00000421,PED00000172,SKU007,2,12.53,25.05
IT00000422,PED00000172,SKU003,2,3.68,7.36
IT00000423,PED00000173,SKU012,6,12.09,72.53
IT00000424,PED00000174,SKU008,2,19.0,38.0
IT00000425,PED00000174,SKU008,2,18.38,36.76
IT00000426,PED00000174,SKU007,3,13.0,39.0
IT00000427,PED00000175,SKU001,2,6.63,13.27
IT00000428,PED00000175,SKU002,2,4.39,8.79
IT00000429,PED00000176,SKU011,3,17.26,51.78
IT00000430,PED00000176,SKU002,3,4.22,12.65
IT00000431,PED00000177,SKU006,2,10.36,20.71
IT00000432,PED00000177,SKU013,1,10.54,10.54
IT00000433,PED00000177,SKU012,6,12.2,73.18
IT00000434,PED00000178,SKU005,6,8.61,51.63
IT00000435,PED00000179,SKU001,3,6.57,19.7
IT00000436,PED00000179,SKU015,2,6.66,13.32
IT00000437,PED00000179,SKU008,2,18.29,36.57
IT00000438,PED00000179,SKU013,3,10.88,32.65
IT00000439,PED00000180,SKU007,3,12.56,37.69
IT00000440,PED00000180,SKU008,3,18.27,54.81
IT00000441,PED00000181,SKU012,6,12.4,74.42
IT00000442,PED00000181,SKU004,2,8.06,16.12
IT00000443,PED00000182,SKU011,12,15.84,190.03
IT00000444,PED00000182,SKU009,3,20.81,62.42
IT00000445,PED00000182,SKU007,3,13.1,39.29
IT00000446,PED00000182,SKU005,1,8.3,8.3
IT00000447,PED00000182,SKU002,1,4.24,4.24
IT00000448,PED00000183,SKU001,6,6.18,37.1
IT00000449,PED00000184,SKU001,6,6.6,39.61
IT00000450,PED00000184,SKU014,1,7.57,7.57
IT00000451,PED00000184,SKU002,3,4.04,12.12
IT00000452,PED00000185,SKU002,3,4.38,13.13
IT00000453,PED00000185,SKU005,3,8.66,25.99
IT00000454,PED00000185,SKU011,3,16.21,48.63
IT00000455,PED00000186,SKU008,1,19.81,19.81
IT00000456,PED00000186,SKU004,3,7.65,22.94
IT00000457,PED00000187,SKU001,1,6.55,6.55
IT00000458,PED00000187,SKU005,3,8.09,24.27
IT00000459,PED00000188,SKU001,2,6.79,13.57
IT00000460,PED00000188,SKU008,2,18.72,37.44
IT00000461,PED00000189,SKU006,1,9.7,9.7
IT00000462,PED00000189,SKU001,3,6.8,20.39
IT00000463,PED00000190,SKU001,12,6.6,79.25
IT00000464,PED00000191,SKU001,3,6.56,19.68
IT00000465,PED00000192,SKU006,1,10.18,10.18
IT00000466,PED00000193,SKU015,1,7.06,7.06
IT00000467,PED00000193,SKU008,3,18.85,56.54
IT00000468,PED00000193,SKU015,3,6.72,20.17
IT00000469,PED00000194,SKU010,1,15.37,15.37
IT00000470,PED00000195,SKU007,1,13.51,13.51
IT00000471,PED00000195,SKU010,2,14.63,29.27
IT00000472,PED00000195,SKU013,1,10.4,10.4
IT00000473,PED00000196,SKU015,2,6.65,13.29
IT00000474,PED00000196,SKU013,6,11.02,66.14
IT00000475,PED00000197,SKU005,2,8.76,17.52
IT00000476,PED00000197,SKU013,2,10.49,20.99
IT00000477,PED00000197,SKU003,3,3.81,11.43
IT00000478,PED00000198,SKU013,1,10.81,10.81
IT00000479,PED00000198,SKU009,1,19.14,19.14
IT00000480,PED00000198,SKU009,12,20.14,241.64
IT00000481,PED00000199,SKU003,3,3.98,11.93
IT00000482,PED00000200,SKU013,6,10.85,65.09
IT00000483,PED00000200,SKU002,3,4.38,13.14
IT00000484,PED00000201,SKU012,3,11.69,35.08
IT00000485,PED00000201,SKU013,1,10.6,10.6
IT00000486,PED00000202,SKU003,1,3.84,3.84
IT00000487,PED00000202,SKU003,2,3.66,7.32
IT00000488,PED00000202,SKU012,1,11.73,11.73
IT00000489,PED00000202,SKU005,1,8.18,8.18
IT00000490,PED00000203,SKU005,3,8.75,26.24
IT00000491,PED00000203,SKU011,12,17.17,206.03
IT00000492,PED00000204,SKU005,1,8.44,8.44
IT00000493,PED00000204,SKU014,1,7.37,7.37
IT00000494,PED00000204,SKU010,1,15.54,15.54
IT00000495,PED00000204,SKU003,6,3.95,23.71
IT00000496,PED00000205,SKU012,6,11.84,71.06
IT00000497,PED00000205,SKU004,1,8.1,8.1
IT00000498,PED00000205,SKU012,3,12.44,37.31
IT00000499,PED00000205,SKU003,2,3.7,7.4
IT00000500,PED00000206,SKU008,2,18.22,36.43
IT00000501,PED00000207,SKU015,3,6.92,20.76
IT00000502,PED00000208,SKU015,1,7.21,7.21
IT00000503,PED00000208,SKU011,2,15.76,31.52
IT00000504,PED00000209,SKU004,1,7.77,7.77
IT00000505,PED00000209,SKU009,1,19.86,19.86
IT00000506,PED00000209,SKU013,2,11.4,22.8
IT00000507,PED00000210,SKU006,2,9.9,19.8
IT00000508,PED00000211,SKU013,12,11.32,135.81
IT00000509,PED00000211,SKU004,6,7.87,47.2
IT00000510,PED00000211,SKU002,2,4.07,8.13
IT00000511,PED00000211,SKU002,1,4.11,4.11
IT00000512,PED00000212,SKU003,2,3.77,7.54
IT00000513,PED00000212,SKU012,3,11.65,34.96
IT00000514,PED00000213,SKU008,2,19.27,38.54
IT00000515,PED00000213,SKU014,2,7.47,14.94
IT00000516,PED00000213,SKU010,1,15.33,15.33
