pedido_id,cliente_id,loja_id,criado_em,status,subtotal,taxa_entrega,total,canal
PED00000053,CLI00181,LJ08,2025-09-02T17:20:07,PENDENTE,80.63,7.13,87.76,WEB
PED00000054,CLI01947,LJ06,2025-09-02T15:52:03,PAGO,103.14,9.44,112.58,APP_ANDROID
PED00000055,CLI01438,LJ02,2025-09-02T10:57:10,PAGO,74.29,10.3,84.59,APP_IOS
PED00000056,CLI01582,LJ08,2025-09-02T17:42:37,PENDENTE,19.35,8.87,28.22,APP_ANDROID
PED00000057,CLI01894,LJ09,2025-09-02T22:58:58,PAGO,238.39,9.26,247.65,WEB
PED00000058,CLI00815,LJ06,2025-09-02T14:28:51,PAGO,94.8,9.98,104.78,WEB
PED00000059,CLI00430,LJ10,2025-09-02T21:18:43,PAGO,89.4,8.36,97.76,WEB
PED00000060,CLI01381,LJ12,2025-09-02T23:34:18,PAGO,16.01,6.87,22.88,APP_IOS
PED00000061,CLI00300,LJ01,2025-09-02T21:50:18,PAGO,79.68,6.57,86.25,WEB
PED00000062,CLI01047,LJ12,2025-09-02T14:44:42,PAGO,275.67,10.21,285.88,APP_IOS
PED00000063,CLI01700,LJ04,2025-09-02T20:45:45,PAGO,241.41,11.74,253.15,WEB
PED00000064,CLI00084,LJ07,2025-09-02T14:35:16,PAGO,35.47,9.38,44.85,WEB
PED00000065,CLI00734,LJ02,2025-09-02T22:45:20,PAGO,97.4,8.93,106.33,WEB
PED00000066,CLI00913,LJ04,2025-09-02T20:39:58,PAGO,359.02,7.08,366.1,WEB
PED00000067,CLI00169,LJ02,2025-09-02T12:49:34,PAGO,63.73,11.83,75.56,APP_ANDROID
PED00000068,CLI01530,LJ11,2025-09-02T12:01:29,PAGO,4.32,8.91,13.23,WEB
PED00000069,CLI00835,LJ07,2025-09-02T17:40:25,PAGO,15.68,10.04,25.72,APP_IOS
PED00000070,CLI01436,LJ02,2025-09-02T15:59:32,PAGO,54.53,6.54,61.07,WEB
PED00000071,CLI00605,LJ11,2025-09-02T12:19:43,PAGO,75.17,10.08,85.25,APP_IOS
PED00000072,CLI00292,LJ03,2025-09-02T12:14:39,PAGO,11.48,5.38,16.86,WEB
PED00000073,CLI00150,LJ05,2025-09-02T20:04:16,PAGO,285.52,8.4,293.92,APP_ANDROID
PED00000074,CLI01421,LJ10,2025-09-02T12:36:36,PAGO,23.82,8.05,31.87,APP_ANDROID
PED00000075,CLI01798,LJ08,2025-09-02T17:28:22,PAGO,11.98,11.24,23.22,APP_IOS
PED00000076,CLI01490,LJ02,2025-09-02T10:54:32,PAGO,130.15,11.24,141.39,WEB
PED00000077,CLI00275,LJ08,2025-09-02T18:32:05,PAGO,63.12,5.98,69.1,APP_IOS
PED00000078,CLI01508,LJ12,2025-09-02T17:22:02,PAGO,21.26,7.53,28.79,APP_ANDROID
PED00000079,CLI00082,LJ11,2025-09-02T15:06:45,PENDENTE,115.3,10.85,126.15,WEB
PED00000080,CLI01058,LJ07,2025-09-02T15:52:55,PAGO,86.07,6.31,92.38,APP_ANDROID
PED00000081,CLI01354,LJ04,2025-09-02T16:51:21,PAGO,132.41,5.3,137.71,WEB
PED00000082,CLI01290,LJ09,2025-09-02T10:57:36,PAGO,7.22,9.2,16.42,WEB
PED00000083,CLI01940,LJ02,2025-09-02T13:28:38,PENDENTE,38.17,8.17,46.34,WEB
PED00000084,CLI00790,LJ03,2025-09-02T11:01:12,PAGO,108.8,9.62,118.42,WEB
PED00000085,CLI01837,LJ11,2025-09-02T20:27:33,PAGO,131.73,7.98,139.71,APP_ANDROID
PED00000086,CLI01864,LJ02,2025-09-02T14:38:56,PAGO,49.92,7.63,57.55,APP_IOS
PED00000087,CLI00838,LJ06,2025-09-02T11:09:27,PAGO,30.27,10.28,40.55,APP_ANDROID
PED00000088,CLI00989,LJ03,2025-09-02T15:35:35,PAGO,147.78,8.85,156.63,WEB
PED00000089,CLI00330,LJ07,2025-09-02T20:00:51,PAGO,19.85,6.84,26.69,APP_ANDROID
PED00000090,CLI01484,LJ07,2025-09-02T16:39:41,PAGO,76.08,8.63,84.71,APP_IOS
PED00000091,CLI01057,LJ12,2025-09-02T13:39:10,PAGO,41.06,7.77,48.83,WEB
PED00000092,CLI01510,LJ12,2025-09-02T11:58:05,PAGO,140.82,5.03,145.85,APP_IOS
PED00000093,CLI01145,LJ02,2025-09-02T18:18:21,CANCELADO,105.11,9.77,114.88,WEB
PED00000094,CLI01766,LJ01,2025-09-02T17:07:16,PAGO,63.13,6.74,69.87,APP_IOS
PED00000095,CLI00156,LJ09,2025-09-02T12:30:20,PAGO,66.06,6.75,72.81,WEB
PED00000096,CLI00246,LJ02,2025-09-02T20:42:31,PAGO,319.72,8.44,328.16,WEB
PED00000097,CLI01537,LJ10,2025-09-02T12:03:33,PAGO,41.37,11.84,53.21,WEB
PED00000098,CLI01412,LJ01,2025-09-02T10:43:13,PAGO,28.99,8.84,37.83,APP_IOS
PED00000099,CLI00750,LJ03,2025-09-02T17:27:13,PAGO,81.89,6.89,88.78,APP_IOS
PED00000100,CLI00402,LJ03,2025-09-02T22:47:09,PAGO,27.08,10.95,38.03,WEB
PED00000101,CLI01609,LJ08,2025-09-02T14:16:35,PAGO,12.05,10.7,22.75,APP_ANDROID
PED00000102,CLI00922,LJ12,2025-09-02T15:16:23,PAGO,33.94,9.54,43.48,APP_IOS
PED00000103,CLI00728,LJ06,2025-09-02T20:32:31,PAGO,213.51,9.48,222.99,APP_ANDROID
PED00000104,CLI01739,LJ02,2025-09-02T11:10:21,PAGO,38.6,11.04,49.64,APP_ANDROID
PED00000105,CLI01978,LJ08,2025-09-03T16:10:11,PAGO,24.74,9.9,34.64,APP_IOS
PED00000106,CLI00211,LJ02,2025-09-03T11:59:56,PAGO,22.38,5.58,27.96,APP_ANDROID
PED00000107,CLI01342,LJ07,2025-09-03T14:14:15,PAGO,10.34,11.41,21.75,APP_ANDROID
PED00000108,CLI01915,LJ05,2025-09-03T18:28:08,PENDENTE,103.4,11.36,114.76,APP_ANDROID
PED00000109,CLI00905,LJ05,2025-09-03T15:26:16,PAGO,123.55,7.41,130.96,APP_ANDROID
PED00000110,CLI01940,LJ08,2025-09-03T14:00:49,PAGO,39.71,7.76,47.47,APP_IOS
PED00000111,CLI01697,LJ07,2025-09-03T13:16:05,PAGO,68.0,10.2,78.2,APP_ANDROID
PED00000112,CLI00374,LJ03,2025-09-03T14:07:40,PAGO,41.4,5.15,46.55,APP_IOS
PED00000113,CLI01465,LJ08,2025-09-03T21:00:14,PAGO,7.75,10.6,18.35,APP_ANDROID
PED00000114,CLI00677,LJ02,2025-09-03T23:48:09,PAGO,58.7,10.0,68.7,APP_ANDROID
PED00000115,CLI00507,LJ12,2025-09-03T10:12:29,PAGO,197.46,9.77,207.23,APP_ANDROID
PED00000116,CLI01289,LJ12,2025-09-03T10:47:59,PAGO,54.99,11.21,66.2,WEB
PED00000117,CLI00484,LJ11,2025-09-03T16:20:00,PAGO,21.43,9.82,31.25,APP_IOS
PED00000118,CLI00510,LJ03,2025-09-03T17:05:43,PAGO,113.14,10.64,123.78,APP_ANDROID
PED00000119,CLI01412,LJ07,2025-09-03T15:46:08,PAGO,23.31,9.88,33.19,APP_IOS
PED00000120,CLI00713,LJ06,2025-09-03T21:29:17,PAGO,60.0,9.47,69.47,APP_ANDROID
PED00000121,CLI01270,LJ06,2025-09-03T22:39:15,PAGO,115.7,9.78,125.48,WEB
PED00000122,CLI00661,LJ07,2025-09-03T20:20:07,PAGO,52.73,10.85,63.58,WEB
PED00000123,CLI00101,LJ06,2025-09-03T13:38:45,PAGO,59.39,9.96,69.35,WEB
PED00000124,CLI01504,LJ02,2025-09-03T23:19:04,CANCELADO,105.42,9.72,115.14,WEB
PED00000125,CLI01363,LJ07,2025-09-03T11:10:50,PAGO,59.16,7.21,66.37,APP_ANDROID
PED00000126,CLI01566,LJ11,2025-09-03T16:52:46,PAGO,40.84,8.17,49.01,APP_ANDROID
PED00000127,CLI00583,LJ10,2025-09-03T10:33:08,PENDENTE,109.31,9.83,119.14,APP_ANDROID
PED00000128,CLI01140,LJ10,2025-09-03T19:09:06,PAGO,12.1,5.64,17.74,APP_ANDROID
PED00000129,CLI01504,LJ02,2025-09-03T21:20:50,PAGO,27.86,5.26,33.12,WEB
PED00000130,CLI01888,LJ06,2025-09-03T15:56:52,PAGO,193.36,8.95,202.31,APP_ANDROID
PED00000131,CLI00314,LJ01,2025-09-03T20:46:25,PENDENTE,63.54,5.35,68.89,APP_ANDROID
PED00000132,CLI01028,LJ07,2025-09-03T22:44:08,PAGO,32.63,8.67,41.3,APP_IOS
PED00000133,CLI00663,LJ11,2025-09-03T19:05:07,PAGO,25.93,11.91,37.84,WEB
PED00000134,CLI01277,LJ03,2025-09-03T17:02:59,PAGO,10.13,5.6,15.73,WEB
PED00000135,CLI01780,LJ05,2025-09-03T10:21:44,PAGO,38.34,10.25,48.59,WEB
PED00000136,CLI01424,LJ12,2025-09-03T20:01:24,PAGO,43.77,5.47,49.24,WEB
PED00000137,CLI01771,LJ02,2025-09-03T10:18:55,PAGO,33.49,8.72,42.21,APP_IOS
PED00000138,CLI01149,LJ12,2025-09-03T10:02:15,CANCELADO,65.77,7.12,72.89,WEB
PED00000139,CLI00565,LJ01,2025-09-03T20:16:56,PAGO,356.42,9.01,365.43,APP_ANDROID
PED00000140,CLI00920,LJ09,2025-09-03T12:13:41,PAGO,46.29,5.95,52.24,APP_IOS
PED00000141,CLI00651,LJ02,2025-09-03T18:34:46,PAGO,65.47,7.88,73.35,APP_ANDROID
PED00000142,CLI00312,LJ04,2025-09-03T11:08:11,PAGO,119.15,10.96,130.11,APP_ANDROID
PED00000143,CLI00396,LJ04,2025-09-03T10:26:48,PENDENTE,147.37,8.2,155.57,APP_IOS
PED00000144,CLI01246,LJ12,2025-09-03T23:24:46,PAGO,145.54,11.14,156.68,APP_IOS
PED00000145,CLI01506,LJ01,2025-09-03T18:24:33,PAGO,173.6,10.06,183.66,APP_IOS
PED00000146,CLI00278,LJ07,2025-09-03T16:20:28,PAGO,38.65,9.54,48.19,WEB
PED00000147,CLI00187,LJ02,2025-09-03T21:28:40,PAGO,128.86,7.66,136.52,APP_IOS
PED00000148,CLI00333,LJ03,2025-09-03T12:49:45,PAGO,52.67,11.72,64.39,APP_IOS
PED00000149,CLI00026,LJ08,2025-09-03T17:54:31,PAGO,13.41,9.62,23.03,APP_ANDROID
PED00000150,CLI01232,LJ10,2025-09-03T10:15:56,PAGO,125.97,9.05,135.02,WEB
PED00000151,CLI00101,LJ02,2025-09-03T16:11:10,PAGO,84.19,10.38,94.57,APP_ANDROID
PED00000152,CLI01680,LJ02,2025-09-03T22:27:53,PAGO,23.79,9.87,33.66,WEB
PED00000153,CLI00180,LJ08,2025-09-03T21:44:38,CANCELADO,251.56,6.63,258.19,APP_ANDROID
PED00000154,CLI00397,LJ01,2025-09-03T11:01:29,PAGO,7.59,7.9,15.49,APP_IOS
PED00000155,CLI00024,LJ11,2025-09-03T13:44:18,PAGO,16.7,5.04,21.74,WEB
PED00000156,CLI01484,LJ10,2025-09-03T19:01:53,PAGO,116.81,8.37,125.18,WEB
PED00000157,CLI01835,LJ06,2025-09-03T17:50:52,PAGO,47.19,11.41,58.6,APP_ANDROID
PED00000158,CLI00575,LJ01,2025-09-03T15:24:40,PAGO,30.08,11.05,41.13,APP_ANDROID
PED00000159,CLI01454,LJ01,2025-09-03T14:26:05,PAGO,130.29,10.49,140.78,APP_IOS
PED00000160,CLI01037,LJ01,2025-09-03T22:30:57,PAGO,14.32,7.17,21.49,APP_ANDROID
PED00000161,CLI01684,LJ09,2025-09-03T20:08:13,PAGO,120.61,9.16,129.77,APP_IOS
PED00000162,CLI00212,LJ09,2025-09-03T22:42:47,PAGO,62.69,6.91,69.6,APP_IOS
PED00000163,CLI01963,LJ10,2025-09-03T18:32:06,PAGO,20.96,5.5,26.46,WEB
PED00000164,CLI00909,LJ01,2025-09-03T12:01:30,CANCELADO,12.81,6.25,19.06,WEB
PED00000165,CLI01826,LJ10,2025-09-03T20:53:44,PAGO,61.68,5.92,67.6,WEB
PED00000166,CLI00636,LJ11,2025-09-03T20:45:49,PAGO,58.66,9.9,68.56,WEB
PED00000167,CLI00929,LJ08,2025-09-03T10:04:30,PAGO,37.52,7.84,45.36,WEB
PED00000168,CLI01139,LJ11,2025-09-03T11:50:19,PAGO,57.64,7.38,65.02,WEB
PED00000169,CLI01162,LJ06,2025-09-04T18:44:15,PAGO,111.45,6.23,117.68,APP_ANDROID
PED00000170,CLI01404,LJ10,2025-09-04T22:52:24,PAGO,31.37,6.04,37.41,WEB
PED00000171,CLI00401,LJ04,2025-09-04T20:56:20,PAGO,66.03,8.57,74.6,APP_IOS
PED00000172,CLI00757,LJ09,2025-09-04T10:00:45,PAGO,90.78,7.69,98.47,APP_ANDROID
PED00000173,CLI00591,LJ11,2025-09-04T12:08:00,PAGO,72.53,11.82,84.35,APP_IOS
PED00000174,CLI01762,LJ08,2025-09-04T22:44:38,CANCELADO,113.76,10.93,124.69,APP_IOS
PED00000175,CLI01459,LJ09,2025-09-04T14:26:59,PAGO,22.06,5.56,27.62,WEB
PED00000176,CLI00953,LJ09,2025-09-04T11:33:56,PAGO,64.43,9.06,73.49,WEB
PED00000177,CLI01096,LJ01,2025-09-04T17:29:32,CANCELADO,104.43,10.09,114.52,WEB
PED00000178,CLI00534,LJ01,2025-09-04T20:30:37,PAGO,51.63,7.01,58.64,APP_IOS
PED00000179,CLI01744,LJ05,2025-09-04T14:08:39,PAGO,102.24,10.6,112.84,APP_IOS
PED00000180,CLI01982,LJ03,2025-09-04T19:59:52,PAGO,92.5,9.04,101.54,APP_ANDROID
PED00000181,CLI01548,LJ02,2025-09-04T10:10:29,PAGO,90.54,8.32,98.86,APP_IOS
PED00000182,CLI00025,LJ05,2025-09-04T22:28:24,PAGO,304.28,8.23,312.51,WEB
PED00000183,CLI01065,LJ06,2025-09-04T20:44:11,PAGO,37.1,5.68,42.78,APP_IOS
PED00000184,CLI00450,LJ12,2025-09-04T14:16:12,PAGO,59.3,11.0,70.3,APP_IOS
PED00000185,CLI01836,LJ02,2025-09-04T21:11:16,PAGO,87.75,6.13,93.88,APP_IOS
PED00000186,CLI00784,LJ07,2025-09-04T15:03:16,PENDENTE,42.75,8.44,51.19,APP_IOS
PED00000187,CLI00448,LJ10,2025-09-04T20:06:58,PAGO,30.82,8.48,39.3,WEB
PED00000188,CLI01362,LJ07,2025-09-04T14:09:44,PAGO,51.01,10.09,61.1,APP_IOS
PED00000189,CLI00788,LJ12,2025-09-04T23:49:30,PAGO,30.09,5.63,35.72,WEB
PED00000190,CLI00165,LJ08,2025-09-04T22:49:18,PAGO,79.25,7.09,86.34,APP_ANDROID
PED00000191,CLI00997,LJ02,2025-09-04T20:28:47,PAGO,19.68,8.42,28.1,APP_IOS
PED00000192,CLI01024,LJ09,2025-09-04T23:51:28,PENDENTE,10.18,5.3,15.48,APP_IOS
PED00000193,CLI00939,LJ11,2025-09-04T23:55:34,PAGO,83.77,9.54,93.31,APP_IOS
PED00000194,CLI01853,LJ05,2025-09-04T23:50:06,PAGO,15.37,5.8,21.17,WEB
PED00000195,CLI00130,LJ04,2025-09-04T16:21:51,PAGO,53.18,6.21,59.39,APP_IOS
PED00000196,CLI01552,LJ07,2025-09-04T12:44:23,PAGO,79.43,10.44,89.87,APP_IOS
PED00000197,CLI00014,LJ01,2025-09-04T12:59:05,PAGO,49.94,7.88,57.82,APP_IOS
PED00000198,CLI01222,LJ03,2025-09-04T21:31:39,PENDENTE,271.59,11.04,282.63,WEB
PED00000199,CLI01578,LJ11,2025-09-04T20:13:17,PAGO,11.93,8.32,20.25,APP_IOS
PED00000200,CLI00111,LJ11,2025-09-04T15:18:13,PAGO,78.23,6.23,84.46,APP_IOS
PED00000201,CLI00146,LJ04,2025-09-04T21:28:37,PAGO,45.68,6.66,52.34,APP_ANDROID
PED00000202,CLI01826,LJ04,2025-09-04T11:30:37,PAGO,31.07,9.85,40.92,APP_IOS
PED00000203,CLI01745,LJ08,2025-09-04T17:26:10,PAGO,232.27,9.05,241.32,WEB
PED00000204,CLI00844,LJ09,2025-09-04T17:55:13,PAGO,55.06,7.92,62.98,APP_IOS
PED00000205,CLI01503,LJ09,2025-09-04T10:27:33,PAGO,123.87,11.99,135.86,APP_IOS
PED00000206,CLI00332,LJ12,2025-09-04T17:54:36,PAGO,36.43,9.92,46.35,APP_IOS
PED00000207,CLI01284,LJ08,2025-09-04T21:40:00,PAGO,20.76,7.08,27.84,APP_ANDROID
PED00000208,CLI01179,LJ04,2025-09-04T22:43:05,PAGO,38.73,7.68,46.41,APP_ANDROID
PED00000209,CLI00751,LJ03,2025-09-04T20:35:45,PAGO,50.43,6.47,56.9,WEB
PED00000210,CLI00723,LJ05,2025-09-04T18:43:27,PAGO,19.8,10.81,30.61,APP_ANDROID
PED00000211,CLI01843,LJ05,2025-09-04T17:39:23,PAGO,195.25,9.88,205.13,APP_ANDROID
PED00000212,CLI01067,LJ11,2025-09-04T10:18:26,PENDENTE,42.5,5.44,47.94,APP_IOS
PED00000213,CLI01321,LJ06,2025-09-04T16:37:21,PAGO,68.81,6.2,75.01,APP_ANDROID
PED00000214,CLI01989,LJ05,2025-09-04T22:54:03,PAGO,31.85,10.88,42.73,WEB
PED00000215,CLI00331,LJ04,2025-09-04T11:02:20,PAGO,30.39,6.04,36.43,APP_ANDROID
PED00000216,CLI01093,LJ05,2025-09-04T11:58:01,PAGO,27.67,11.83,39.5,APP_ANDROID
PED00000217,CLI00971,LJ05,2025-09-04T22:36:42,PAGO,64.79,5.17,69.96,WEB
PED00000218,CLI00732,LJ02,2025-09-04T15:03:38,PAGO,91.55,11.83,103.38,APP_ANDROID
PED00000219,CLI01236,LJ10,2025-09-04T18:03:58,PAGO,80.22,7.16,87.38,APP_ANDROID
PED00000220,CLI00442,LJ12,2025-09-04T17:47:26,PAGO,102.83,9.11,111.94,APP_IOS
PED00000221,CLI00973,LJ09,2025-09-04T15:04:59,PENDENTE,46.14,6.39,52.53,APP_ANDROID
PED00000222,CLI00087,LJ05,2025-09-04T23:37:19,PAGO,49.64,11.25,60.89,APP_ANDROID
PED00000223,CLI00059,LJ02,2025-09-04T22:17:31,PENDENTE,23.75,8.05,31.8,APP_ANDROID
PED00000224,CLI01996,LJ12,2025-09-04T23:07:23,PAGO,18.76,7.53,26.29,WEB
PED00000225,CLI00100,LJ05,2025-09-04T14:33:40,CANCELADO,78.47,11.11,89.58,WEB
PED00000226,CLI01639,LJ05,2025-09-04T14:43:44,PAGO,28.74,5.96,34.7,APP_ANDROID
PED00000227,CLI00844,LJ06,2025-09-04T12:06:13,PAGO,95.42,8.72,104.14,WEB
PED00000228,CLI00855,LJ08,2025-09-04T11:07:52,PAGO,9.76,10.72,20.48,WEB
PED00000229,CLI00353,LJ12,2025-09-04T14:01:47,PAGO,31.11,5.55,36.66,WEB
PED00000230,CLI00160,LJ01,2025-09-04T22:30:48,PAGO,19.53,5.41,24.94,APP_IOS
PED00000231,CLI00136,LJ05,2025-09-04T20:00:48,PAGO,15.5,6.29,21.79,APP_ANDROID
PED00000232,CLI01733,LJ12,2025-09-04T14:37:22,PAGO,149.52,10.28,159.8,APP_IOS
PED00000233,CLI01893,LJ04,2025-09-04T18:54:45,PAGO,44.4,5.79,50.19,APP_ANDROID
PED00000234,CLI01065,LJ03,2025-09-04T17:48:23,PAGO,45.9,6.58,52.48,APP_ANDROID
PED00000235,CLI00387,LJ02,2025-09-04T23:51:30,CANCELADO,86.35,9.74,96.09,APP_IOS
PED00000236,CLI00294,LJ07,2025-09-04T16:44:37,PENDENTE,100.52,10.08,110.6,APP_ANDROID
PED00000237,CLI01549,LJ11,2025-09-04T16:22:30,PAGO,88.85,6.25,95.1,WEB
PED00000238,CLI00621,LJ10,2025-09-04T19:06:48,PAGO,64.74,8.78,73.52,APP_IOS
PED00000239,CLI00882,LJ02,2025-09-04T16:28:20,PAGO,29.91,6.15,36.06,APP_ANDROID
PED00000240,CLI00999,LJ02,2025-09-04T19:43:31,PAGO,74.85,9.74,84.59,APP_ANDROID
PED00000241,CLI01210,LJ01,2025-09-05T12:53:23,PAGO,51.36,6.71,58.07,APP_IOS
PED00000242,CLI01865,LJ12,2025-09-05T11:55:19,PAGO,19.82,11.04,30.86,WEB
PED00000243,CLI00547,LJ01,2025-09-05T21:30:37,PAGO,52.24,6.44,58.68,APP_ANDROID
PED00000244,CLI00342,LJ10,2025-09-05T14:23:27,PAGO,47.8,10.2,58.0,APP_IOS
PED00000245,CLI01213,LJ06,2025-09-05T14:04:36,PAGO,15.3,8.03,23.33,WEB
PED00000246,CLI00824,LJ05,2025-09-05T19:32:29,PAGO,14.54,9.63,24.17,WEB
PED00000247,CLI01920,LJ11,2025-09-05T18:51:39,PAGO,92.39,11.02,103.41,APP_IOS
PED00000248,CLI00547,LJ05,2025-09-05T20:10:16,PAGO,30.91,8.4,39.31,APP_ANDROID
PED00000249,CLI00414,LJ03,2025-09-05T14:08:01,PAGO,148.92,11.3,160.22,APP_ANDROID
PED00000250,CLI00813,LJ12,2025-09-05T23:08:15,PAGO,116.57,9.2,125.77,APP_ANDROID
PED00000251,CLI01651,LJ12,2025-09-05T21:15:59,PAGO,3.71,7.86,11.57,WEB
PED00000252,CLI00768,LJ12,2025-09-05T11:20:34,PAGO,81.67,9.24,90.91,WEB
PED00000253,CLI01415,LJ11,2025-09-05T13:16:35,PAGO,72.07,7.75,79.82,APP_ANDROID
PED00000254,CLI00610,LJ04,2025-09-05T23:56:10,CANCELADO,75.78,10.16,85.94,APP_ANDROID
PED00000255,CLI01470,LJ07,2025-09-05T23:06:52,PAGO,23.23,9.87,33.1,APP_IOS
PED00000256,CLI01291,LJ08,2025-09-05T22:41:08,PAGO,12.02,10.37,22.39,WEB
PED00000257,CLI01624,LJ06,2025-09-05T17:30:55,PAGO,40.86,6.27,47.13,APP_ANDROID
PED00000258,CLI00043,LJ01,2025-09-05T18:41:39,PAGO,47.38,5.1,52.48,WEB
